Albedo =  1.000000e+00     Jext =   0.000000e+00
     Jnet =    0.000000e+00     jout =    1.420772e+00     jin =    1.420772e+00
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1    5.000000e-02    2.205000e+00    2.450000e-01    1.000000e+00    7.985001e-01    0.000000e+00    7.985001e-01    1.382845e-02
               2    1.000000e-01    2.205000e+00    2.450000e-01    1.000000e+00    8.056056e-01    0.000000e+00    8.056056e-01    4.185451e-02
               3    1.500000e-01    2.205000e+00    2.450000e-01    1.000000e+00    8.202396e-01    0.000000e+00    8.202396e-01    7.102467e-02
               4    2.000000e-01    2.205000e+00    2.450000e-01    1.000000e+00    8.436623e-01    0.000000e+00    8.436623e-01    1.022740e-01
               5    2.500000e-01    2.205000e+00    2.450000e-01    1.000000e+00    8.780162e-01    0.000000e+00    8.780162e-01    1.368496e-01
               6    3.000000e-01    2.205000e+00    2.450000e-01    1.000000e+00    9.272914e-01    0.000000e+00    9.272914e-01    1.766475e-01
               7    3.500000e-01    2.205000e+00    2.450000e-01    1.000000e+00    9.999371e-01    0.000000e+00    9.999371e-01    2.251202e-01
               8    4.000000e-01    2.205000e+00    2.450000e-01    1.000000e+00    1.123198e+00    0.000000e+00    1.123198e+00    2.917737e-01
               9    4.800000e-01    4.000000e-01    1.000000e-01    1.000000e+00    1.338720e+00    0.000000e+00    1.338720e+00    1.184329e-01
              10    5.600000e-01    1.700000e-01    1.330000e+00    1.000000e+00    1.440525e+00    0.000000e+00    1.440525e+00    6.400928e-02
              11    6.500000e-01    1.700000e-01    1.330000e+00    1.000000e+00    1.470215e+00    0.000000e+00    1.470215e+00    8.550818e-02
     Rtot =  1.327323e+00     jnet =  0.000000e+00 sum =  1.327323e+00 qtot 1.327323e+00
