Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   1.080323e+000     jin =   1.080323e+000
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   4.415000e+000   2.450000e-001   1.000000e+000   3.380293e-001   0.000000e+000   3.380293e-001   1.172128e-002
               2   1.000000e-001   4.415000e+000   2.450000e-001   1.000000e+000   3.440536e-001   0.000000e+000   3.440536e-001   3.579052e-002
               3   1.500000e-001   4.415000e+000   2.450000e-001   1.000000e+000   3.568758e-001   0.000000e+000   3.568758e-001   6.187393e-002
               4   2.000000e-001   4.415000e+000   2.450000e-001   1.000000e+000   3.782537e-001   0.000000e+000   3.782537e-001   9.181249e-002
               5   2.500000e-001   4.415000e+000   2.450000e-001   1.000000e+000   4.114901e-001   0.000000e+000   4.114901e-001   1.284170e-001
               6   3.000000e-001   4.415000e+000   2.450000e-001   1.000000e+000   4.629968e-001   0.000000e+000   4.629968e-001   1.766002e-001
               7   3.500000e-001   4.415000e+000   2.450000e-001   1.000000e+000   5.467385e-001   0.000000e+000   5.467385e-001   2.464584e-001
               8   4.000000e-001   4.415000e+000   2.450000e-001   1.000000e+000   7.104353e-001   0.000000e+000   7.104353e-001   3.695187e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   1.006366e+000   0.000000e+000   1.006366e+000   8.903041e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   1.114726e+000   0.000000e+000   1.114726e+000   4.953250e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   1.144552e+000   0.000000e+000   1.144552e+000   6.656751e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
