Albedo =  1.000000e+000     Jext =   0.000000e+000
     Jnet =   0.000000e+000     jout =   9.340281e-001     jin =   9.340281e-001
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
               1   5.000000e-002   8.825000e+000   2.450000e-001   1.000000e+000   1.286442e-001   0.000000e+000   1.286442e-001   8.916505e-003
               2   1.000000e-001   8.825000e+000   2.450000e-001   1.000000e+000   1.311230e-001   0.000000e+000   1.311230e-001   2.726495e-002
               3   1.500000e-001   8.825000e+000   2.450000e-001   1.000000e+000   1.367939e-001   0.000000e+000   1.367939e-001   4.740687e-002
               4   2.000000e-001   8.825000e+000   2.450000e-001   1.000000e+000   1.474393e-001   0.000000e+000   1.474393e-001   7.153454e-002
               5   2.500000e-001   8.825000e+000   2.450000e-001   1.000000e+000   1.668284e-001   0.000000e+000   1.668284e-001   1.040680e-001
               6   3.000000e-001   8.825000e+000   2.450000e-001   1.000000e+000   2.031019e-001   0.000000e+000   2.031019e-001   1.548500e-001
               7   3.500000e-001   8.825000e+000   2.450000e-001   1.000000e+000   2.766877e-001   0.000000e+000   2.766877e-001   2.493089e-001
               8   4.000000e-001   8.825000e+000   2.450000e-001   1.000000e+000   4.677054e-001   0.000000e+000   4.677054e-001   4.862597e-001
               9   4.800000e-001   4.000000e-001   1.000000e-001   1.000000e+000   8.596974e-001   0.000000e+000   8.596974e-001   7.605506e-002
              10   5.600000e-001   1.700000e-001   1.330000e+000   1.000000e+000   9.735330e-001   0.000000e+000   9.735330e-001   4.325863e-002
              11   6.500000e-001   1.700000e-001   1.330000e+000   1.000000e+000   1.004118e+000   0.000000e+000   1.004118e+000   5.839979e-002
     Rtot = 1.327323e+000     jnet = 0.000000e+000 sum = 1.327323e+000 qtot 1.327323e+000
