Albedo =  1.0000E+00     Jext =   0.0000E+00
   Jnet =   0.0000E+00     jout =   1.4208E+00      jin =   1.4208E+00
      Region      Radius      SigRem     SigScat      Source    SRC Flux      J Flux  Total Flux     Removal
           1  5.0000E-02  2.2050E+00  2.4500E-01  1.0000E+00  7.9850E-01  0.0000E+00  7.9850E-01  1.3828E-02
           2  1.0000E-01  2.2050E+00  2.4500E-01  1.0000E+00  8.0561E-01  0.0000E+00  8.0561E-01  4.1854E-02
           3  1.5000E-01  2.2050E+00  2.4500E-01  1.0000E+00  8.2024E-01  0.0000E+00  8.2024E-01  7.1025E-02
           4  2.0000E-01  2.2050E+00  2.4500E-01  1.0000E+00  8.4366E-01  0.0000E+00  8.4366E-01  1.0227E-01
           5  2.5000E-01  2.2050E+00  2.4500E-01  1.0000E+00  8.7802E-01  0.0000E+00  8.7802E-01  1.3685E-01
           6  3.0000E-01  2.2050E+00  2.4500E-01  1.0000E+00  9.2729E-01  0.0000E+00  9.2729E-01  1.7665E-01
           7  3.5000E-01  2.2050E+00  2.4500E-01  1.0000E+00  9.9994E-01  0.0000E+00  9.9994E-01  2.2512E-01
           8  4.0000E-01  2.2050E+00  2.4500E-01  1.0000E+00  1.1232E+00  0.0000E+00  1.1232E+00  2.9177E-01
           9  4.8000E-01  4.0000E-01  1.0000E-01  1.0000E+00  1.3387E+00  0.0000E+00  1.3387E+00  1.1843E-01
          10  5.6000E-01  1.7000E-01  1.3300E+00  1.0000E+00  1.4405E+00  0.0000E+00  1.4405E+00  6.4009E-02
          11  6.5000E-01  1.7000E-01  1.3300E+00  1.0000E+00  1.4702E+00  0.0000E+00  1.4702E+00  8.5508E-02
     Rtot =  1.3273E+00 jnet   0.0000E+00 sum =  1.3273E+00 qtot   1.3273E+00
